idx,question_普通模型,pred_普通模型,gold_普通模型,score_普通模型,em_普通模型,rouge1_普通模型,categories_普通模型,use_cot_普通模型,cot_type_普通模型,question_COT模型,pred_COT模型,gold_COT模型,score_COT模型,em_COT模型,rouge1_COT模型,categories_COT模型,use_cot_COT模型,cot_type_COT模型,score_diff
66,根据专利文本，调节组件的主要功能是什么？,调节固定座和移动座之间的距离,调节固定座和移动座之间的距离,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown,根据专利文本，调节组件的主要功能是什么？,用于调节固定座和移动座之间的距离,调节固定座和移动座之间的距离,0.7,0.0,0.9333333333333333,"['部件识别', '功能作用']",True,identification,0.30000000000000004
67,根据专利文本，喷射头内，哪个腔室后部的直径逐渐缩小？,第一混合腔,第一混合腔,1.0,1.0,1.0,['其他'],False,unknown,根据专利文本，喷射头内，哪个腔室后部的直径逐渐缩小？,第一混合腔,第一混合腔,1.0,1.0,1.0,['其他'],False,other,0.0
68,在文件中第5页的示意图中，编号115的部件是什么？,黑料进料口,黑料进料口,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，编号115的部件是什么？,黑料进料口,黑料进料口,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
69,在文件中第5页的示意图中，编号112的部件相对于编号111的部件的位置是什么？,位于右侧,位于编号111的部件的右侧,0.3529411764705882,0.0,0.47058823529411764,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，编号112的部件相对于编号111的部件的位置是什么？,在右侧,位于编号111的部件的右侧,0.1875,0.0,0.25,"['位置关系', '部件识别', '指定页面']",True,position,0.1654411764705882
70,在文件中第5页的示意图中，黑料储罐（编号2）与混料管（编号1）之间连接了哪些部件?,阀门(5)和管道(11),黑料高压泵和黑料质量流量计,0.06,0.0,0.08,"['位置关系', '连接关系', '指定页面']",False,unknown,在文件中第5页的示意图中，黑料储罐（编号2）与混料管（编号1）之间连接了哪些部件?,部件5,黑料高压泵和黑料质量流量计,0.0,0.0,0.0,"['位置关系', '连接关系', '指定页面']",True,position,0.06
71,在文件中第5页的示意图中，上喷射通道（编号17）和下喷射通道（编号18）汇入的腔室是哪个?,腔室111,第二混合腔(编号14),0.18750000000000006,0.0,0.25000000000000006,['指定页面'],False,unknown,在文件中第5页的示意图中，上喷射通道（编号17）和下喷射通道（编号18）汇入的腔室是哪个?,腔室111,第二混合腔(编号14),0.18750000000000006,0.0,0.25000000000000006,['指定页面'],False,other,0.0
72,根据专利文本，本实用新型中，哪个部件的运动可以驱动连杆转动，从而带动夹杆运动？,电动伸缩杆,电动伸缩杆,1.0,1.0,1.0,['部件识别'],False,unknown,根据专利文本，本实用新型中，哪个部件的运动可以驱动连杆转动，从而带动夹杆运动？,电动伸缩杆,电动伸缩杆,1.0,1.0,1.0,['部件识别'],True,identification,0.0
73,根据专利文本，本实用新型的便携式永磁座磁力钻的优点是什么？,体积小，重量轻，行程长，设有照明装置,增加照明装置，良好的光线确保产品加工中少出差错。,0.17857142857142858,0.0,0.2380952380952381,['部件识别'],False,unknown,根据专利文本，本实用新型的便携式永磁座磁力钻的优点是什么？,体积小，重量轻，行程长，设有照明装置,增加照明装置，良好的光线确保产品加工中少出差错。,0.17857142857142858,0.0,0.2380952380952381,['部件识别'],True,identification,0.0
74,在文件中第5页的图中，编号为6的部件是什么？,滑道装置,滑道装置,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第5页的图中，编号为6的部件是什么？,滑道装置,滑道装置,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
75,在文件中第5页的图中，哪个编号指向了电源/故障指示灯？,13,13,1.0,1.0,1.0,['指定页面'],False,unknown,在文件中第5页的图中，哪个编号指向了电源/故障指示灯？,13,13,1.0,1.0,1.0,['指定页面'],False,other,0.0
76,根据文件中第5页图示，操作手柄（7-5，图中显示为7）的转动会直接影响哪个部件的运动？,移动滑块(6-2),钻头夹具(2),0.28125,0.0,0.375,"['部件识别', '指定页面']",False,unknown,根据文件中第5页图示，操作手柄（7-5，图中显示为7）的转动会直接影响哪个部件的运动？,减速箱(4),钻头夹具(2),0.23076923076923073,0.0,0.30769230769230765,"['部件识别', '指定页面']",True,identification,0.050480769230769273
77,根据文件中第5页图示，启/停/复位按钮（9）和调速电位器（10）都位于哪个部件上？,电动控制板,主控箱(8),0.13636363636363635,0.0,0.1818181818181818,"['部件识别', '指定页面']",False,unknown,根据文件中第5页图示，启/停/复位按钮（9）和调速电位器（10）都位于哪个部件上？,电动控制板,主控箱(8),0.13636363636363635,0.0,0.1818181818181818,"['部件识别', '指定页面']",True,identification,0.0
78,根据文本信息，燃烧壁炉设备中哪个部件用于积攒燃烧所产生的灰烬？,蓄灰腔,蓄灰腔,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown,根据文本信息，燃烧壁炉设备中哪个部件用于积攒燃烧所产生的灰烬？,蓄灰腔,蓄灰腔,1.0,1.0,1.0,"['部件识别', '功能作用']",True,identification,0.0
79,观察文件中第9页的图片，编号为39的部件相对于编号为44的部件的位置关系是什么？,位于上方,在上方,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",False,unknown,观察文件中第9页的图片，编号为39的部件相对于编号为44的部件的位置关系是什么？,位于部件44的上方,在上方,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",True,position,0.1785714285714286
80,观察文件中第9页的图片，编号为21的部件相对于编号为28的部件的位置关系是什么？,在上方,在上方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,观察文件中第9页的图片，编号为21的部件相对于编号为28的部件的位置关系是什么？,部件21位于部件28的上方,在上方,0.1875,0.0,0.25,"['位置关系', '部件识别', '指定页面']",True,position,0.8125
81,观察文件中第9页的图片，如果秸秆通过输送机构进入活动腔，并经过切割装置处理，切割后的秸秆接下来会进入哪个部件？,活化腔,燃烧腔22,0.1875,0.0,0.25,"['部件识别', '指定页面']",False,unknown,观察文件中第9页的图片，如果秸秆通过输送机构进入活动腔，并经过切割装置处理，切割后的秸秆接下来会进入哪个部件？,输送通道,燃烧腔22,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.1875
82,观察文件中第9页的图片，如果燃烧腔的盖板（67）处于打开状态，那么转动销（26）与哪个部件脱离？,燃烧腔的盖板(24),卡紧槽25,0.1,0.0,0.13333333333333333,"['部件识别', '指定页面']",False,unknown,观察文件中第9页的图片，如果燃烧腔的盖板（67）处于打开状态，那么转动销（26）与哪个部件脱离？,盖板(67),卡紧槽25,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.1
83,根据专利文本，哪个部件用于检测气体是否泄露？,压力传感器,压力传感器,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown,根据专利文本，哪个部件用于检测气体是否泄露？,压力传感器,压力传感器,1.0,1.0,1.0,"['部件识别', '功能作用']",True,identification,0.0
84,根据专利文本，哪个部件能够帮助出气管一和出气管二之间连接？,固定管,固定管,1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系']",False,unknown,根据专利文本，哪个部件能够帮助出气管一和出气管二之间连接？,固定管,固定管,1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系']",True,position,0.0
85,在文件中第6页的示意图中，部件11相对于部件1的位置是什么方向？,位于上方,右上方,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，部件11相对于部件1的位置是什么方向？,部件11位于部件1的右侧,右上方,0.1,0.0,0.13333333333333333,"['位置关系', '部件识别', '指定页面']",True,position,0.3285714285714286
86,在文件中第6页的示意图中，部件13相对于部件12的位置是什么？,位于部件12的左侧,在部件12上,0.4,0.0,0.5333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，部件13相对于部件12的位置是什么？,部件13位于部件12的左侧,在部件12上,0.3157894736842105,0.0,0.42105263157894735,"['位置关系', '部件识别', '指定页面']",True,position,0.08421052631578951
87,在文件中第6页的示意图中，如果气泵（2）将蒸汽锅炉（1）内的气体抽出，下一个经过的部件是什么？,部件3,出气管一（3）,0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，如果气泵（2）将蒸汽锅炉（1）内的气体抽出，下一个经过的部件是什么？,气泵(2),出气管一（3）,0.125,0.0,0.16666666666666666,"['部件识别', '指定页面']",True,identification,0.025000000000000022
88,在文件中第6页的示意图中，位于暖气片（11）和蒸汽锅炉（1）之间的管路上的部件是什么？,进气管(12),进气管（12）,0.7857142857142857,1.0,0.7142857142857143,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，位于暖气片（11）和蒸汽锅炉（1）之间的管路上的部件是什么？,固定管(6)和出气管二(10),进气管（12）,0.20454545454545459,0.0,0.27272727272727276,"['位置关系', '部件识别', '指定页面']",True,position,0.5811688311688311
89,根据专利文本，中段钢结构外壳的框架是什么形状的？,拱形,拱形,1.0,1.0,1.0,['部件识别'],False,unknown,根据专利文本，中段钢结构外壳的框架是什么形状的？,拱形,拱形,1.0,1.0,1.0,['部件识别'],True,identification,0.0
90,在文件中第5页提供的图片中，编号为2的部件是什么？,角钢,角钢,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第5页提供的图片中，编号为2的部件是什么？,角钢,角钢,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
91,在文件中第5页提供的图片中，编号为5的部件是什么？,连接法兰,连接法兰,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第5页提供的图片中，编号为5的部件是什么？,连接法兰,连接法兰,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
92,在文件中第5页提供的图片中，环形肋(7)和哪个部件相邻？,框架(3),加强筋(4),0.2727272727272727,0.0,0.3636363636363636,"['部件识别', '指定页面']",False,unknown,在文件中第5页提供的图片中，环形肋(7)和哪个部件相邻？,框架(3),加强筋(4),0.2727272727272727,0.0,0.3636363636363636,"['部件识别', '指定页面']",True,identification,0.0
93,在文件中第5页的图片中，如果需要增加底板的强度，可以在底板上安装哪个部件？,加强筋,加强筋(4),0.5,0.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",False,unknown,在文件中第5页的图片中，如果需要增加底板的强度，可以在底板上安装哪个部件？,加强筋,加强筋(4),0.5,0.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
94,根据文本信息，哪个部件便于观察第一固定板和第二固定板的高度是否一致，从而使管道的对齐更加准确？,卡块,卡块(6)和卡槽(21),0.21428571428571427,0.0,0.2857142857142857,"['部件识别', '连接关系']",False,unknown,根据文本信息，哪个部件便于观察第一固定板和第二固定板的高度是否一致，从而使管道的对齐更加准确？,卡槽,卡块(6)和卡槽(21),0.21428571428571427,0.0,0.2857142857142857,"['部件识别', '连接关系']",True,identification,0.0
95,根据文本，设备配方库主要用于存储什么类型的数据？,配方数据库,所有设备的配方，包括运行参数的差异副本,0.1875,0.0,0.25,['功能作用'],False,unknown,根据文本，设备配方库主要用于存储什么类型的数据？,配方数据库,所有设备的配方，包括运行参数的差异副本,0.1875,0.0,0.25,['功能作用'],False,other,0.0
